Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C5,1uF,C_0805_2012Metric,201.012913,-13.237087,45,bottom
C6,1uF,C_0805_2012Metric,211.237087,-26.362913,45,bottom
C7,1uF,C_0805_2012Metric,217.287087,-20.112913,225,bottom
C8,1uF,C_0805_2012Metric,211.412913,-8.662913,135,bottom
C9,22pF,C_0805_2012Metric,202.4,-5.5625,270,bottom
C10,22pF,C_0805_2012Metric,195.95,-5.5875,90,bottom
C11,1uF,C_0805_2012Metric,202.537087,-23.762913,225,bottom
D1,SOD-123,D_SOD-123,157.1625,11.05,270,bottom
D2,SOD-123,D_SOD-123,236.5375,49.15,270,bottom
D3,SOD-123,D_SOD-123,255.5875,49.15,270,bottom
D4,SOD-123,D_SOD-123,274.6375,49.15,270,bottom
D5,SOD-123,D_SOD-123,293.6875,49.15,270,bottom
D6,SOD-123,D_SOD-123,-57.15,30.1,270,bottom
D7,SOD-123,D_SOD-123,-38.1,30.1,270,bottom
D8,SOD-123,D_SOD-123,-19.05,30.1,270,bottom
D9,SOD-123,D_SOD-123,0,30.1,270,bottom
D10,SOD-123,D_SOD-123,19.05,30.1,270,bottom
D11,SOD-123,D_SOD-123,38.1,30.1,270,bottom
D12,SOD-123,D_SOD-123,57.15,30.1,270,bottom
D13,SOD-123,D_SOD-123,76.2,30.1,270,bottom
D14,SOD-123,D_SOD-123,94.45625,30.1,270,bottom
D15,SOD-123,D_SOD-123,114.3,30.1,270,bottom
D16,SOD-123,D_SOD-123,133.35,30.1,270,bottom
D17,SOD-123,D_SOD-123,152.4,30.1,270,bottom
D18,SOD-123,D_SOD-123,200.025,30.1,270,bottom
D19,SOD-123,D_SOD-123,236.5375,30.1,270,bottom
D20,SOD-123,D_SOD-123,255.5875,30.1,270,bottom
D21,SOD-123,D_SOD-123,274.6375,30.1,270,bottom
D22,SOD-123,D_SOD-123,293.6875,30.1,270,bottom
D23,SOD-123,D_SOD-123,-52.3875,11.05,270,bottom
D24,SOD-123,D_SOD-123,-33.3375,11.05,270,bottom
D25,SOD-123,D_SOD-123,-14.2875,11.05,270,bottom
D26,SOD-123,D_SOD-123,4.7625,11.05,270,bottom
D27,SOD-123,D_SOD-123,23.8125,11.05,270,bottom
D28,SOD-123,D_SOD-123,42.8625,11.05,270,bottom
D29,SOD-123,D_SOD-123,61.9125,11.05,270,bottom
D30,SOD-123,D_SOD-123,80.9625,11.05,270,bottom
D31,SOD-123,D_SOD-123,100.0125,11.05,270,bottom
D32,SOD-123,D_SOD-123,119.0625,11.05,270,bottom
D33,SOD-123,D_SOD-123,138.1125,11.05,270,bottom
D34,SOD-123,D_SOD-123,200.025,11.05,270,bottom
D35,SOD-123,D_SOD-123,236.5375,11.05,270,bottom
