Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C5,1uF,C_0805_2012Metric,170.787087,-39.818337,135,bottom
C6,1uF,C_0805_2012Metric,171.137087,-57.262913,45,bottom
C7,1uF,C_0805_2012Metric,161.862913,-53.937087,225,bottom
C8,1uF,C_0805_2012Metric,177.337087,-50.862913,225,bottom
C9,22pF,C_0805_2012Metric,162.662913,-37.262913,135,bottom
C10,22pF,C_0805_2012Metric,162.862913,-41.337087,225,bottom
C11,1uF,C_0805_2012Metric,163.537087,-55.662913,45,bottom
D5,D_Small,D_SOD-123,166.6875,8,270,bottom
D6,D_Small,D_SOD-123,185.7375,7.9375,270,bottom
D7,D_Small,D_SOD-123,204.7875,8,270,bottom
D8,D_Small,D_SOD-123,223.8375,7.9375,270,bottom
D9,D_Small,D_SOD-123,242.8875,8,270,bottom
D10,D_Small,D_SOD-123,261.9375,8,270,bottom
D11,D_Small,D_SOD-123,280.9875,8,270,bottom
D12,D_Small,D_SOD-123,300.0375,8,270,bottom
D13,D_Small,D_SOD-123,319.0875,8,270,bottom
D14,D_Small,D_SOD-123,338.1375,7.9375,270,bottom
D15,D_Small,D_SOD-123,157.1625,-11.05,270,bottom
D16,D_Small,D_SOD-123,176.2125,-11.1125,270,bottom
D17,D_Small,D_SOD-123,195.2625,-11.05,270,bottom
D18,D_Small,D_SOD-123,214.3125,-11.1125,270,bottom
D19,D_Small,D_SOD-123,233.3625,-11.1125,270,bottom
D20,D_Small,D_SOD-123,252.4125,-11.1125,270,bottom
D21,D_Small,D_SOD-123,271.4625,-11.05,270,bottom
D22,D_Small,D_SOD-123,290.5125,-11.05,270,bottom
D23,D_Small,D_SOD-123,309.5625,-11.1125,270,bottom
D24,D_Small,D_SOD-123,328.6125,-11.05,270,bottom
D25,D_Small,D_SOD-123,347.6625,-11.05,270,bottom
D26,D_Small,D_SOD-123,166.6875,-30.1625,270,bottom
D27,D_Small,D_SOD-123,185.7375,-30.1,270,bottom
D28,D_Small,D_SOD-123,204.7875,-30.1,270,bottom
D29,D_Small,D_SOD-123,223.8375,-30.1,270,bottom
D30,D_Small,D_SOD-123,242.8875,-30.1625,270,bottom
D31,D_Small,D_SOD-123,261.9375,-30.1,270,bottom
D32,D_Small,D_SOD-123,280.9875,-30.1,270,bottom
D33,D_Small,D_SOD-123,300.0375,-30.225,270,bottom
D34,D_Small,D_SOD-123,319.0875,-30.1,270,bottom
D35,D_Small,D_SOD-123,347.6625,-30.1,270,bottom
D36,D_Small,D_SOD-123,171.45,-62.76875,90,bottom
D37,D_Small,D_SOD-123,195.2625,-62.76875,90,bottom
D38,D_Small,D_SOD-123,247.65,-62.76875,90,bottom
D39,D_Small,D_SOD-123,261.9375,-62.76875,90,bottom
D40,D_Small,D_SOD-123,272.25625,-62.76875,90,bottom
D41,D_Small,D_SOD-123,290.5125,-62.76875,90,bottom
D42,D_Small,D_SOD-123,347.6625,-62.76875,90,bottom
D58,D_Small,D_SOD-123,149.8,11.675,90,bottom
D59,D_Small,D_SOD-123,347.875,9.7,90,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,161.09,29.945,0,bottom
R2,22,R_0805_2012Metric,166,-65.8,180,bottom
R3,22,R_0805_2012Metric,165.1375,-63.8,180,bottom
R4,10K,R_0805_2012Metric,157.4,-44.9375,90,bottom
R5,10K,R_0805_2012Metric,177.8,-46.6875,135,bottom
R6,5.1k,R_0805_2012Metric,166.677087,30.532087,45,bottom
R7,5.1k,R_0805_2012Metric,171.44,30.5825,90,bottom
SW1,SW_Push,SKQG-1155865,151.4,-46.4,180,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,168.6,-48.4,45,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,169.69,42.345,0,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,160.6,-39.2,315,bottom
C1,104,C_0805_2012Metric,271.4525,19.42375,0,top
C2,104,C_0805_2012Metric,185.7275,19.42375,0,top
C3,104,C_0805_2012Metric,261.9275,19.42375,0,top
C4,104,C_0805_2012Metric,195.2525,19.42375,0,top
C12,104,C_0805_2012Metric,300.0275,19.42375,0,top
C13,104,C_0805_2012Metric,281.12125,19.42375,0,top
C14,104,C_0805_2012Metric,290.64625,19.42375,0,top
C15,104,C_0805_2012Metric,204.7775,19.42375,0,top
C16,104,C_0805_2012Metric,233.3525,19.42375,0,top
C17,104,C_0805_2012Metric,252.4025,19.42375,0,top
C18,104,C_0805_2012Metric,214.3025,19.42375,0,top
C19,104,C_0805_2012Metric,242.8775,19.42375,0,top
C20,104,C_0805_2012Metric,223.8275,19.42375,0,top
C21,104,C_0805_2012Metric,176.2025,19.42375,0,top
C22,104,C_0805_2012Metric,328.6025,19.42375,0,top
C23,104,C_0805_2012Metric,319.0775,19.42375,0,top
C24,104,C_0805_2012Metric,157.1525,19.42375,0,top
C25,104,C_0805_2012Metric,309.5525,19.42375,0,top
C26,104,C_0805_2012Metric,166.6775,19.42375,0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,185.7275,24.18625,180,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,195.2525,24.18625,180,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,204.7775,24.18625,180,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,214.23375,24.17375,180,top
D43,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,223.8275,24.17375,180,top
D44,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,233.3525,24.18625,180,top
D45,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,242.8775,24.18625,180,top
D46,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,252.33375,24.17375,180,top
D47,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,261.85875,24.17375,180,top
D48,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,271.52125,24.17375,180,top
D49,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,281.04625,24.17375,180,top
D50,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,290.57125,24.17375,180,top
D51,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,300.09625,24.17375,180,top
D52,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,157.1525,24.18625,180,top
D53,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,166.6775,24.18625,180,top
D54,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,176.2025,24.18625,180,top
D55,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,309.5525,24.18625,180,top
D56,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,319.0775,24.18625,180,top
D57,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,328.6025,24.18625,180,top
R1,500ohm,R_0805_2012Metric,153.12375,18.77375,270,top
